round,linear MAE,linear median,lgbm MAE,lgbm median,lgbm wins bond-level %,secs
1,20.21476719780132,12.913151769657638,5.603035741376733,2.9324430453358197,85.25553511010862,12.196314334869385
2,20.484043810864886,12.918296578140275,5.849263358768677,2.9088581449397077,85.15457788347206,10.531800270080566
3,20.35731589896643,12.938917580665855,5.7591565963097535,2.919109608576287,85.20523497917905,11.070003032684326
4,20.30503815266387,13.048762077439102,5.749557736799423,2.970242461353667,85.00736377025036,11.328253030776978
5,20.16717607610228,12.987565566864134,5.704518710848232,2.97776975472388,84.60220896580238,10.882933616638184
6,20.24596199361865,12.714505342247628,5.787946190755497,2.9671097299111437,84.85981308411215,11.069862365722656
7,20.11336133324324,13.07981432560621,5.70844614897229,2.9500611061686666,85.33160254897332,10.835973978042603
8,20.00744677578422,12.689459564670491,5.777144203728602,3.0059818351686474,85.08584961515689,10.767637729644775
9,20.322056955168932,13.01448391379505,5.7078418174091015,2.9817380649600267,84.67274233637116,10.91019868850708
10,20.098715738235132,12.972362192285436,5.615643730522923,2.953587048324513,85.41327054277606,11.05030608177185
11,20.022289367597047,12.832975800984258,5.72456518697531,2.9394298408061736,85.12356841470765,10.353728294372559
12,20.48945995812021,12.788835480804561,5.5615541080282584,2.841115839168862,85.5377302436126,11.104418754577637
