Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
11/01/2046,5.25,84630000,11/01/2036,4.57,105.478,4.5812,1.1,1.0,high,7.3
11/01/2047,5.25,89080000,11/01/2036,4.67,104.649,4.6409,-2.9,0.6,high,7.3
11/01/2048,5.25,93885000,11/01/2036,4.74,104.073,4.7127,-2.7,0.8,high,7.3
11/01/2050,5.25,203215000,11/01/2036,4.8,103.582,4.7913,-0.9,0.8,high,7.3
11/01/2052,5.5,225735000,11/01/2036,4.8,105.576,4.7982,-0.2,0.8,high,7.3
11/01/2053,5.0,122075000,11/01/2036,4.93,100.547,4.8954,-3.5,1.3,high,7.3
11/01/2054,5.5,107785000,11/01/2036,4.86,105.083,4.8627,0.3,1.2,high,7.3
