Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
04/01/2027,5.0,36730000,Maturity,2.5,101.382,2.5445,4.5,0.5,CHECK,6.6
04/01/2028,5.0,9485000,Maturity,2.57,103.693,2.5547,-1.5,0.7,high,6.6
04/01/2029,5.0,9955000,Maturity,2.66,105.754,2.6195,-4.1,0.8,high,6.6
04/01/2030,5.0,9455000,Maturity,2.78,107.475,2.7621,-1.8,1.2,high,6.6
04/01/2031,5.0,12505000,Maturity,2.89,108.954,2.8875,-0.2,1.6,high,6.6
04/01/2032,5.0,15565000,Maturity,2.99,110.225,2.9978,0.8,1.6,high,6.6
04/01/2033,5.0,7755000,Maturity,3.13,111.011,3.0977,-3.2,1.3,high,6.6
04/01/2034,5.0,8145000,Maturity,3.24,111.717,3.2057,-3.4,1.4,high,6.6
04/01/2035,5.0,3970000,Maturity,3.35,112.19,3.3246,-2.5,1.3,high,6.6
04/01/2036,5.0,8000000,Maturity,3.47,112.356,3.4297,-4.0,0.6,high,6.6
04/01/2037,5.0,11025000,04/01/2036,3.62,111.067,3.617,-0.3,0.6,high,6.6
04/01/2038,5.0,15560000,04/01/2036,3.73,110.132,3.765,3.5,0.3,high,6.6
04/01/2039,5.0,24835000,04/01/2036,3.85,109.123,3.8808,3.1,0.4,high,6.6
04/01/2040,5.0,30660000,04/01/2036,4.0,107.878,4.0231,2.3,0.4,high,6.6
04/01/2041,5.0,32195000,04/01/2036,4.07,107.302,4.0934,2.3,0.5,high,6.6
04/01/2042,5.0,34005000,04/01/2036,4.12,106.893,4.1277,0.8,0.2,high,6.6
04/01/2043,5.0,35705000,04/01/2036,4.17,106.486,4.1857,1.6,0.3,high,6.6
04/01/2045,5.0,1960000,04/01/2036,4.28,105.598,4.2953,1.5,0.5,high,6.6
04/01/2046,5.25,2060000,04/01/2036,4.35,106.975,4.3331,-1.7,1.5,high,6.6
04/01/2047,5.25,9830000,04/01/2036,4.45,106.171,4.4144,-3.6,0.9,high,6.6
04/01/2048,5.25,11025000,04/01/2036,4.51,105.692,4.5016,-0.8,1.1,high,6.6
04/01/2049,5.25,12270000,04/01/2036,4.55,105.375,4.5505,0.1,1.1,high,6.6
04/01/2050,5.25,13550000,04/01/2036,4.58,105.137,4.5625,-1.8,1.0,high,6.6
04/01/2051,5.25,14870000,04/01/2036,4.6,104.979,4.5893,-1.1,0.5,high,6.6
04/01/2056,5.25,92740000,04/01/2036,4.77,103.647,4.7487,-2.1,0.8,high,6.6
04/01/2059,5.5,61775000,04/01/2036,4.78,105.47,4.7221,-5.8,1.2,high,6.6
04/01/2059,5.0,60000000,04/01/2036,4.88,100.904,4.8356,-4.4,0.4,high,6.6
