Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
06/01/2034,5.0,5650000,Maturity,3.57,109.595,3.5965,2.6,0.8,high,14.0
06/01/2035,5.0,6575000,Maturity,3.67,109.866,3.7123,4.2,0.6,high,14.0
06/01/2036,5.0,7555000,Maturity,3.77,109.947,3.7849,1.5,1.1,high,14.0
06/01/2037,5.0,8600000,06/01/2036,3.9,108.84,3.9,0.0,0.8,high,14.0
06/01/2038,5.0,9710000,06/01/2036,4.03,107.747,4.0247,-0.5,2.1,high,14.0
06/01/2039,5.0,10890000,06/01/2036,4.17,106.584,4.1995,2.9,1.5,high,14.0
06/01/2040,5.0,12145000,06/01/2036,4.3,105.518,4.3298,3.0,0.9,high,14.0
06/01/2041,5.0,13475000,06/01/2036,4.36,105.03,4.399,3.9,0.7,high,14.0
06/01/2042,5.0,14885000,06/01/2036,4.41,104.625,4.4456,3.6,0.6,high,14.0
06/01/2043,5.0,16380000,06/01/2036,4.46,104.223,4.5077,4.8,0.2,high,14.0
06/01/2044,5.0,17965000,06/01/2036,4.54,103.583,4.565,2.5,0.2,high,14.0
06/01/2045,5.0,19645000,06/01/2036,4.62,102.947,4.6246,0.5,0.8,high,14.0
06/01/2046,5.0,21425000,06/01/2036,4.72,102.159,4.7091,-1.1,0.5,high,14.0
06/01/2051,5.5,139025000,06/01/2036,4.92,104.439,4.8318,-8.8,2.9,high,14.0
06/01/2056,5.0,100000000,Maturity,5.11,98.319,5.0864,-2.4,1.9,high,14.0
06/01/2056,5.25,105220000,06/01/2036,5.06,101.439,5.022,-3.8,0.8,high,14.0
